Stations,Relations
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B03F,B02F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B03F,B02F,B01F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B02F,B01F"
H3,"B01F,B02F"
H3,"B03F,B02F"
H3,"B01F,B02F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B02F"
H3,"B01F,B03F"
H3,"B02F,B01F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B02F"
H3,"B02F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B03F,B04F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B01F,B04F"
H3,"B04F,B01F"
H3,"B04F,B03F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B03F,B04F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B01F,B03F"
H3,"B03F,B01F"
H3,"B03F,B04F"
H3,"B03F,B04F"
H3,"B06F,B02F"
H3,"B06F,B02F"
H3,"B02F,B06F"
H3,"B06F,B03F"
H3,"B06F,B03F"
H3,"B03F,B06F"
H3,"B06F,B03F"
H3,"B03F,B06F"
H3,"B06F,B03F"
H3,"B03F,B06F"
H3,"B06F,B03F"
H3,"B03F,B06F"
H3,"B06F,B03F"
H3,"B03F,B06F"
H3,"B06F,B03F"
H3,"B06F,B02F,B05F"
H3,"B02F,B05F"
H3,"B05F,B06F"
H3,"B06F,B05F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B04F"
H3,"B04F,B03F"
H3,"B03F,B06F"
H3,"B02F,B06F"
H3,"B06F,B02F"
H3,"B05F,B02F"
H3,"B02F,B05F"
H3,"B05F,B02F"
H3,"B02F,B05F"
H3,"B05F,B02F"
H3,"B06F,B05F"
H3,"B06F,B02F,B07F"
H3,"B02F,B07F"
H3,"B06F,B02F"
H3,"B02F,B06F"
H3,"B02F,B06F"
H3,"B06F,B05F"
H3,"B06F,B02F"
H3,"B02F,B06F"
H3,"B06F,B02F"
H3,"B06F,B05F,B02F"
H3,"B05F,B02F"
H3,"B05F,B06F"
H3,"B05F,B02F"
H3,"B02F,B05F"
H3,"B05F,B02F"
H3,"B02F,B04F"
H3,"B05F,B06F,B02F"
H3,"B06F,B02F"
H3,"B06F,B02F"
H3,"B02F,B06F"
H3,"B06F,B02F"
H3,"B02F,B06F,B04F"
H3,"B06F,B04F"
H3,"B06F,B02F"
H3,"B06F,B02F"
H3,"B04F,B02F"
H3,"B04F,B06F"
H3,"B02F,B04F,B05F"
H3,"B04F,B05F"
H3,"B04F,B06F"
H3,"B06F,B04F"
H3,"B08F,B04F,B06F"
H3,"B04F,B06F"
H3,"B04F,B06F"
H3,"B04F,B02F"
H3,"B04F,B06F"
H3,"B08F,B02F"
H3,"B08F,B04F"
H3,"B04F,B08F"
H3,"B08F,B04F"
H3,"B04F,B08F"
H3,"B08F,B04F"
H3,"B06F,B04F"
H3,"B04F,B06F"
H3,"B06F,B04F"
H3,"B04F,B06F"
